series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TOS,1,0,The Cage,http://www.imdb.com/title/tt0059753/,7.6,"2,327",1-Jan-65,Unknown,Robert Butler,Gene Roddenberry,?,Jeffrey Hunter as Captain Pike,?,,
TOS,1,1,The Man Trap,http://www.imdb.com/title/tt0708469/,7.3,"1,135",8-Sep-66,1513.1,Marc Daniels,George Clayton Johnson,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,2,Charlie X,http://www.imdb.com/title/tt0708424/,7.2,"1,050",15-Sep-66,1533.6,Lawrence Dobkin,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,3,Where No Man Has Gone Before,http://www.imdb.com/title/tt0061027/,7.8,"1,930",22-Sep-66,1312.9,James Goldstone,Samuel A. Peeples,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,4,The Naked Time,http://www.imdb.com/title/tt0708473/,7.9,977,29-Sep-66,1704.2,Marc Daniels,John D. F. Black,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,5,The Enemy Within,http://www.imdb.com/title/tt0708463/,7.7,935,6-Oct-66,1672.1,Leo Penn,Richard Matheson,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,6,Mudd's Women,http://www.imdb.com/title/tt0708439/,7,899,13-Oct-66,1329.8,Harvey Hart,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,7,What Are Little Girls Made Of?,http://www.imdb.com/title/tt0708486/,7.6,862,20-Oct-66,2712.4,James Goldstone,Robert Bloch,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,8,Miri,http://www.imdb.com/title/tt0394905/,7.2,869,27-Oct-66,2713.5,Vincent McEveety,Adrian Spies,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,9,Dagger of the Mind,http://www.imdb.com/title/tt0708426/,7.5,801,3-Nov-66,2715.1,Vincent McEveety,S. Bar-David,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,10,The Corbomite Maneuver,http://www.imdb.com/title/tt0708458/,8.1,939,10-Nov-66,1512.2,Joseph Sargent,Jerry Sohl,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
