series,season,episode,title,url,rating,votes,date,stardate,director,writer,exact
TOS,1,0,The Cage,http://www.imdb.com/title/tt0059753/,7.6,"2,327",1-Jan-65,Unknown,Robert Butler,Gene Roddenberry,1
TOS,1,1,The Man Trap,http://www.imdb.com/title/tt0708469/,7.3,"1,135",8-Sep-66,1513.1,Marc Daniels,George Clayton Johnson,2
TOS,1,2,Charlie X,http://www.imdb.com/title/tt0708424/,7.2,"1,050",15-Sep-66,1533.6,Lawrence Dobkin,Gene Roddenberry,3
TOS,1,3,Where No Man Has Gone Before,http://www.imdb.com/title/tt0061027/,7.8,"1,930",22-Sep-66,1312.9,James Goldstone,Samuel A. Peeples,4
TOS,1,4,The Naked Time,http://www.imdb.com/title/tt0708473/,7.9,977,29-Sep-66,1704.2,Marc Daniels,John D. F. Black,5
TOS,1,5,The Enemy Within,http://www.imdb.com/title/tt0708463/,7.7,935,6-Oct-66,1672.1,Leo Penn,Richard Matheson,6
TOS,1,6,Mudd's Women,http://www.imdb.com/title/tt0708439/,7,899,13-Oct-66,1329.8,Harvey Hart,Gene Roddenberry,7
TOS,1,7,What Are Little Girls Made Of?,http://www.imdb.com/title/tt0708486/,7.6,862,20-Oct-66,2712.4,James Goldstone,Robert Bloch,8
TOS,1,8,Miri,http://www.imdb.com/title/tt0394905/,7.2,869,27-Oct-66,2713.5,Vincent McEveety,Adrian Spies,9
TOS,1,9,Dagger of the Mind,http://www.imdb.com/title/tt0708426/,7.5,801,3-Nov-66,2715.1,Vincent McEveety,S. Bar-David,10
TOS,1,10,The Corbomite Maneuver,http://www.imdb.com/title/tt0708458/,8.1,939,10-Nov-66,1512.2,Joseph Sargent,Jerry Sohl,11
TOS,1,11,The Menagerie: Part I,http://www.imdb.com/title/tt0394904/,8.3,908,17-Nov-66,3012.4,Marc Daniels,Gene Roddenberry,12
TOS,1,12,The Menagerie: Part II,http://www.imdb.com/title/tt0708472/,8.3,856,24-Nov-66,3013.1,Robert Butler,Gene Roddenberry,13
TOS,1,13,The Conscience of the King,http://www.imdb.com/title/tt0394903/,7.2,810,8-Dec-66,2817.6,Gerd Oswald,Barry Trivers,14
